category;date;downloads
without_mirrors;2020-05-01;12
with_mirrors;2020-05-01;40
with_mirrors;2020-05-02;6
without_mirrors;2020-05-02;4
without_mirrors;2020-05-03;8
with_mirrors;2020-05-03;22
with_mirrors;2020-05-04;29
without_mirrors;2020-05-04;3
with_mirrors;2020-05-05;6
without_mirrors;2020-05-05;5
with_mirrors;2020-05-06;10
without_mirrors;2020-05-06;6
without_mirrors;2020-05-07;2
with_mirrors;2020-05-07;8
with_mirrors;2020-05-08;28
without_mirrors;2020-05-08;4
without_mirrors;2020-05-09;3
with_mirrors;2020-05-09;3
with_mirrors;2020-05-10;41
without_mirrors;2020-05-10;5
without_mirrors;2020-05-11;3
with_mirrors;2020-05-11;32
without_mirrors;2020-05-12;26
with_mirrors;2020-05-12;38
without_mirrors;2020-05-13;42
with_mirrors;2020-05-13;86
with_mirrors;2020-05-14;30
without_mirrors;2020-05-14;7
without_mirrors;2020-05-15;3
with_mirrors;2020-05-15;23
without_mirrors;2020-05-16;19
with_mirrors;2020-05-16;23
without_mirrors;2020-05-17;7
with_mirrors;2020-05-17;83
with_mirrors;2020-05-18;43
without_mirrors;2020-05-18;6
with_mirrors;2020-05-19;36
without_mirrors;2020-05-19;7
with_mirrors;2020-05-20;17
without_mirrors;2020-05-20;7
with_mirrors;2020-05-21;42
without_mirrors;2020-05-21;5
with_mirrors;2020-05-22;41
without_mirrors;2020-05-22;3
with_mirrors;2020-05-23;30
without_mirrors;2020-05-23;6
without_mirrors;2020-05-24;5
with_mirrors;2020-05-24;21
without_mirrors;2020-05-25;10
with_mirrors;2020-05-25;47
without_mirrors;2020-05-26;4
with_mirrors;2020-05-26;22
without_mirrors;2020-05-27;7
with_mirrors;2020-05-27;21
without_mirrors;2020-05-28;9
with_mirrors;2020-05-28;45
with_mirrors;2020-05-29;33
without_mirrors;2020-05-29;5
with_mirrors;2020-05-30;39
without_mirrors;2020-05-30;4
with_mirrors;2020-05-31;14
without_mirrors;2020-05-31;14
with_mirrors;2020-06-01;31
without_mirrors;2020-06-01;5
without_mirrors;2020-06-02;3
with_mirrors;2020-06-02;13
without_mirrors;2020-06-03;3
with_mirrors;2020-06-03;17
with_mirrors;2020-06-04;33
without_mirrors;2020-06-04;1
without_mirrors;2020-06-05;2
with_mirrors;2020-06-05;26
with_mirrors;2020-06-06;17
without_mirrors;2020-06-06;1
without_mirrors;2020-06-07;5
with_mirrors;2020-06-07;13
with_mirrors;2020-06-08;27
without_mirrors;2020-06-08;3
with_mirrors;2020-06-09;19
without_mirrors;2020-06-09;7
with_mirrors;2020-06-10;11
without_mirrors;2020-06-10;5
with_mirrors;2020-06-11;15
without_mirrors;2020-06-11;3
without_mirrors;2020-06-12;6
with_mirrors;2020-06-12;20
with_mirrors;2020-06-13;25
without_mirrors;2020-06-13;1
with_mirrors;2020-06-14;31
with_mirrors;2020-06-15;4
without_mirrors;2020-06-15;4
with_mirrors;2020-06-16;47
without_mirrors;2020-06-16;45
with_mirrors;2020-06-17;99
without_mirrors;2020-06-17;79
with_mirrors;2020-06-18;40
without_mirrors;2020-06-18;26
without_mirrors;2020-06-19;18
with_mirrors;2020-06-19;30
without_mirrors;2020-06-20;3
with_mirrors;2020-06-20;51
without_mirrors;2020-06-21;2
with_mirrors;2020-06-21;2
with_mirrors;2020-06-22;69
without_mirrors;2020-06-22;57
with_mirrors;2020-06-23;9
without_mirrors;2020-06-23;9
without_mirrors;2020-06-24;13
with_mirrors;2020-06-24;38
