category;date;downloads
without_mirrors;2020-05-01;9
with_mirrors;2020-05-01;17
with_mirrors;2020-05-02;4
with_mirrors;2020-05-03;6
without_mirrors;2020-05-03;2
with_mirrors;2020-05-04;1
without_mirrors;2020-05-05;2
with_mirrors;2020-05-05;9
with_mirrors;2020-05-06;7
with_mirrors;2020-05-07;8
without_mirrors;2020-05-08;1
with_mirrors;2020-05-08;7
with_mirrors;2020-05-09;8
with_mirrors;2020-05-10;6
with_mirrors;2020-05-11;4
with_mirrors;2020-05-12;7
with_mirrors;2020-05-13;16
with_mirrors;2020-05-14;10
with_mirrors;2020-05-15;8
without_mirrors;2020-05-15;6
with_mirrors;2020-05-16;24
with_mirrors;2020-05-17;4
with_mirrors;2020-05-18;5
without_mirrors;2020-05-18;1
with_mirrors;2020-05-19;13
without_mirrors;2020-05-19;2
without_mirrors;2020-05-20;3
with_mirrors;2020-05-20;12
with_mirrors;2020-05-21;9
without_mirrors;2020-05-21;1
with_mirrors;2020-05-22;8
without_mirrors;2020-05-23;1
with_mirrors;2020-05-23;5
with_mirrors;2020-05-24;16
with_mirrors;2020-05-25;4
without_mirrors;2020-05-26;1
with_mirrors;2020-05-26;5
without_mirrors;2020-05-27;3
with_mirrors;2020-05-27;15
without_mirrors;2020-05-28;1
with_mirrors;2020-05-28;9
with_mirrors;2020-05-29;6
with_mirrors;2020-05-30;12
without_mirrors;2020-05-31;6
with_mirrors;2020-05-31;16
without_mirrors;2020-06-01;1
with_mirrors;2020-06-01;1
with_mirrors;2020-06-02;4
with_mirrors;2020-06-03;14
with_mirrors;2020-06-04;17
with_mirrors;2020-06-05;16
with_mirrors;2020-06-06;18
with_mirrors;2020-06-07;8
with_mirrors;2020-06-08;8
without_mirrors;2020-06-09;2
with_mirrors;2020-06-09;10
with_mirrors;2020-06-10;5
without_mirrors;2020-06-10;1
with_mirrors;2020-06-11;2
without_mirrors;2020-06-11;2
with_mirrors;2020-06-12;8
with_mirrors;2020-06-13;4
without_mirrors;2020-06-14;30
with_mirrors;2020-06-14;145
with_mirrors;2020-06-15;137
without_mirrors;2020-06-15;9
without_mirrors;2020-06-16;1
with_mirrors;2020-06-16;33
with_mirrors;2020-06-17;30
without_mirrors;2020-06-18;4
with_mirrors;2020-06-18;24
without_mirrors;2020-06-19;7
with_mirrors;2020-06-19;25
without_mirrors;2020-06-20;4
with_mirrors;2020-06-20;22
without_mirrors;2020-06-21;11
with_mirrors;2020-06-21;31
without_mirrors;2020-06-22;7
with_mirrors;2020-06-22;17
with_mirrors;2020-06-23;34
without_mirrors;2020-06-23;7
with_mirrors;2020-06-24;21
without_mirrors;2020-06-24;7
with_mirrors;2020-06-25;33
without_mirrors;2020-06-25;7
with_mirrors;2020-06-26;9
without_mirrors;2020-06-26;7
without_mirrors;2020-06-27;3
with_mirrors;2020-06-27;25
with_mirrors;2020-06-28;14
without_mirrors;2020-06-29;4
with_mirrors;2020-06-29;30
with_mirrors;2020-06-30;8
without_mirrors;2020-06-30;2
with_mirrors;2020-07-01;11
without_mirrors;2020-07-01;3
with_mirrors;2020-07-02;19
without_mirrors;2020-07-03;1
with_mirrors;2020-07-03;19
with_mirrors;2020-07-04;8
without_mirrors;2020-07-05;1
with_mirrors;2020-07-05;9
without_mirrors;2020-07-06;2
with_mirrors;2020-07-06;4
without_mirrors;2020-07-07;3
with_mirrors;2020-07-07;15
with_mirrors;2020-07-08;29
without_mirrors;2020-07-08;1
with_mirrors;2020-07-09;21
without_mirrors;2020-07-09;5
with_mirrors;2020-07-10;9
without_mirrors;2020-07-10;3
with_mirrors;2020-07-11;14
with_mirrors;2020-07-12;23
without_mirrors;2020-07-12;3
without_mirrors;2020-07-13;4
with_mirrors;2020-07-13;18
without_mirrors;2020-07-14;6
with_mirrors;2020-07-14;12
without_mirrors;2020-07-15;5
