category;date;downloads
without_mirrors;2020-05-01;5
with_mirrors;2020-05-01;13
without_mirrors;2020-05-02;1
with_mirrors;2020-05-02;1
with_mirrors;2020-05-03;20
without_mirrors;2020-05-03;4
without_mirrors;2020-05-06;2
with_mirrors;2020-05-06;6
with_mirrors;2020-05-07;24
with_mirrors;2020-05-08;12
without_mirrors;2020-05-09;2
with_mirrors;2020-05-09;10
without_mirrors;2020-05-10;1
with_mirrors;2020-05-10;15
without_mirrors;2020-05-11;1
with_mirrors;2020-05-11;10
with_mirrors;2020-05-12;15
without_mirrors;2020-05-12;1
without_mirrors;2020-05-13;8
with_mirrors;2020-05-13;48
without_mirrors;2020-05-14;5
with_mirrors;2020-05-14;15
with_mirrors;2020-05-15;20
without_mirrors;2020-05-15;10
without_mirrors;2020-05-16;1
with_mirrors;2020-05-16;42
without_mirrors;2020-05-17;1
with_mirrors;2020-05-17;19
with_mirrors;2020-05-18;11
without_mirrors;2020-05-18;1
with_mirrors;2020-05-19;14
without_mirrors;2020-05-19;4
without_mirrors;2020-05-20;2
with_mirrors;2020-05-20;17
with_mirrors;2020-05-21;25
without_mirrors;2020-05-21;1
with_mirrors;2020-05-22;16
with_mirrors;2020-05-23;14
without_mirrors;2020-05-23;1
with_mirrors;2020-05-24;33
with_mirrors;2020-05-25;11
without_mirrors;2020-05-25;11
with_mirrors;2020-05-26;9
without_mirrors;2020-05-26;1
without_mirrors;2020-05-27;4
with_mirrors;2020-05-27;12
with_mirrors;2020-05-28;27
without_mirrors;2020-05-28;3
with_mirrors;2020-05-29;24
without_mirrors;2020-05-30;5
with_mirrors;2020-05-30;13
without_mirrors;2020-05-31;4
with_mirrors;2020-05-31;14
with_mirrors;2020-06-01;3
without_mirrors;2020-06-01;3
with_mirrors;2020-06-03;24
with_mirrors;2020-06-04;16
with_mirrors;2020-06-05;32
with_mirrors;2020-06-06;8
with_mirrors;2020-06-07;32
with_mirrors;2020-06-08;9
without_mirrors;2020-06-08;1
without_mirrors;2020-06-09;4
with_mirrors;2020-06-09;22
with_mirrors;2020-06-10;11
without_mirrors;2020-06-10;3
with_mirrors;2020-06-11;5
without_mirrors;2020-06-11;5
with_mirrors;2020-06-12;37
without_mirrors;2020-06-12;5
with_mirrors;2020-06-13;9
without_mirrors;2020-06-13;1
with_mirrors;2020-06-14;2
without_mirrors;2020-06-15;2
with_mirrors;2020-06-15;10
with_mirrors;2020-06-16;18
with_mirrors;2020-06-17;25
with_mirrors;2020-06-18;8
without_mirrors;2020-06-18;1
with_mirrors;2020-06-19;24
with_mirrors;2020-06-20;17
without_mirrors;2020-06-20;1
with_mirrors;2020-06-21;8
without_mirrors;2020-06-21;2
with_mirrors;2020-06-22;174
without_mirrors;2020-06-22;32
with_mirrors;2020-06-23;112
without_mirrors;2020-06-23;15
with_mirrors;2020-06-24;60
without_mirrors;2020-06-24;3
without_mirrors;2020-06-25;6
with_mirrors;2020-06-25;28
without_mirrors;2020-06-26;3
with_mirrors;2020-06-26;19
