category;date;downloads
with_mirrors;2020-05-01;16
without_mirrors;2020-05-01;8
with_mirrors;2020-05-02;3
without_mirrors;2020-05-02;3
with_mirrors;2020-05-03;14
without_mirrors;2020-05-03;9
with_mirrors;2020-05-04;34
without_mirrors;2020-05-04;30
with_mirrors;2020-05-05;21
without_mirrors;2020-05-05;19
without_mirrors;2020-05-06;7
with_mirrors;2020-05-06;7
with_mirrors;2020-05-07;17
without_mirrors;2020-05-07;13
without_mirrors;2020-05-08;10
with_mirrors;2020-05-08;16
with_mirrors;2020-05-09;9
without_mirrors;2020-05-09;9
without_mirrors;2020-05-10;8
with_mirrors;2020-05-10;12
without_mirrors;2020-05-11;33
with_mirrors;2020-05-11;50
with_mirrors;2020-05-12;21
without_mirrors;2020-05-12;17
without_mirrors;2020-05-13;21
with_mirrors;2020-05-13;40
with_mirrors;2020-05-14;23
without_mirrors;2020-05-14;13
without_mirrors;2020-05-15;3
with_mirrors;2020-05-15;5
without_mirrors;2020-05-16;4
with_mirrors;2020-05-16;9
without_mirrors;2020-05-17;5
with_mirrors;2020-05-17;29
with_mirrors;2020-05-18;16
without_mirrors;2020-05-18;15
with_mirrors;2020-05-19;27
without_mirrors;2020-05-19;15
without_mirrors;2020-05-20;12
with_mirrors;2020-05-20;20
with_mirrors;2020-05-21;20
without_mirrors;2020-05-21;8
with_mirrors;2020-05-22;13
without_mirrors;2020-05-22;5
without_mirrors;2020-05-23;1
with_mirrors;2020-05-23;5
without_mirrors;2020-05-24;6
with_mirrors;2020-05-24;18
with_mirrors;2020-05-25;32
without_mirrors;2020-05-25;20
without_mirrors;2020-05-26;10
with_mirrors;2020-05-26;14
without_mirrors;2020-05-27;12
with_mirrors;2020-05-27;16
with_mirrors;2020-05-28;25
without_mirrors;2020-05-28;17
with_mirrors;2020-05-29;23
without_mirrors;2020-05-29;9
with_mirrors;2020-05-30;18
without_mirrors;2020-05-30;6
with_mirrors;2020-05-31;7
without_mirrors;2020-05-31;7
without_mirrors;2020-06-01;10
with_mirrors;2020-06-01;20
without_mirrors;2020-06-02;18
with_mirrors;2020-06-02;18
without_mirrors;2020-06-03;6
with_mirrors;2020-06-03;6
without_mirrors;2020-06-04;9
with_mirrors;2020-06-04;27
with_mirrors;2020-06-05;17
without_mirrors;2020-06-05;9
with_mirrors;2020-06-06;6
without_mirrors;2020-06-07;3
with_mirrors;2020-06-07;8
without_mirrors;2020-06-08;4
with_mirrors;2020-06-08;12
without_mirrors;2020-06-09;16
with_mirrors;2020-06-09;20
with_mirrors;2020-06-10;20
without_mirrors;2020-06-10;16
with_mirrors;2020-06-11;12
without_mirrors;2020-06-11;12
with_mirrors;2020-06-12;15
without_mirrors;2020-06-12;11
with_mirrors;2020-06-13;10
without_mirrors;2020-06-13;6
with_mirrors;2020-06-14;19
without_mirrors;2020-06-14;1
without_mirrors;2020-06-15;9
with_mirrors;2020-06-15;9
without_mirrors;2020-06-16;15
with_mirrors;2020-06-16;15
with_mirrors;2020-06-17;26
without_mirrors;2020-06-17;16
with_mirrors;2020-06-18;12
without_mirrors;2020-06-18;8
without_mirrors;2020-06-19;11
with_mirrors;2020-06-19;15
with_mirrors;2020-06-20;19
without_mirrors;2020-06-20;7
with_mirrors;2020-06-21;136
without_mirrors;2020-06-21;30
without_mirrors;2020-06-22;25
with_mirrors;2020-06-22;174
with_mirrors;2020-06-23;34
without_mirrors;2020-06-23;18
without_mirrors;2020-06-24;13
with_mirrors;2020-06-24;41
without_mirrors;2020-06-25;32
with_mirrors;2020-06-25;46
with_mirrors;2020-06-26;26
without_mirrors;2020-06-26;8
without_mirrors;2020-06-27;7
with_mirrors;2020-06-27;31
without_mirrors;2020-06-28;10
with_mirrors;2020-06-28;10
with_mirrors;2020-06-29;24
without_mirrors;2020-06-29;16
with_mirrors;2020-06-30;59
without_mirrors;2020-06-30;29
without_mirrors;2020-07-01;17
with_mirrors;2020-07-01;25
without_mirrors;2020-07-02;8
with_mirrors;2020-07-02;16
without_mirrors;2020-07-03;6
with_mirrors;2020-07-03;28
with_mirrors;2020-07-04;27
without_mirrors;2020-07-04;9
without_mirrors;2020-07-05;6
with_mirrors;2020-07-05;12
without_mirrors;2020-07-06;6
with_mirrors;2020-07-06;6
without_mirrors;2020-07-07;9
with_mirrors;2020-07-07;11
without_mirrors;2020-07-08;9
with_mirrors;2020-07-08;20
without_mirrors;2020-07-09;8
with_mirrors;2020-07-09;20
with_mirrors;2020-07-10;12
without_mirrors;2020-07-10;8
without_mirrors;2020-07-11;4
with_mirrors;2020-07-11;16
with_mirrors;2020-07-12;9
without_mirrors;2020-07-12;7
with_mirrors;2020-07-13;32
without_mirrors;2020-07-13;19
with_mirrors;2020-07-14;25
without_mirrors;2020-07-14;10
without_mirrors;2020-07-15;16
with_mirrors;2020-07-15;31
with_mirrors;2020-07-16;20
without_mirrors;2020-07-16;8
without_mirrors;2020-07-17;39
with_mirrors;2020-07-17;47
with_mirrors;2020-07-18;19
without_mirrors;2020-07-18;7
without_mirrors;2020-07-19;7
with_mirrors;2020-07-19;21
with_mirrors;2020-07-20;110
without_mirrors;2020-07-20;96
without_mirrors;2020-07-21;70
with_mirrors;2020-07-21;76
with_mirrors;2020-07-22;92
without_mirrors;2020-07-22;92
with_mirrors;2020-07-23;59
without_mirrors;2020-07-23;53
without_mirrors;2020-07-24;107
with_mirrors;2020-07-24;121
with_mirrors;2020-07-25;20
without_mirrors;2020-07-25;19
without_mirrors;2020-07-26;70
with_mirrors;2020-07-26;82
with_mirrors;2020-07-27;127
without_mirrors;2020-07-27;127
without_mirrors;2020-07-28;57
with_mirrors;2020-07-28;72
with_mirrors;2020-07-29;50
without_mirrors;2020-07-29;39
with_mirrors;2020-07-30;58
without_mirrors;2020-07-30;48
without_mirrors;2020-07-31;39
with_mirrors;2020-07-31;53
with_mirrors;2020-08-01;13
without_mirrors;2020-08-01;7
with_mirrors;2020-08-02;52
without_mirrors;2020-08-02;20
without_mirrors;2020-08-03;31
with_mirrors;2020-08-03;40
without_mirrors;2020-08-04;38
with_mirrors;2020-08-04;42
without_mirrors;2020-08-05;65
with_mirrors;2020-08-05;73
with_mirrors;2020-08-06;62
without_mirrors;2020-08-06;56
without_mirrors;2020-08-07;16
with_mirrors;2020-08-07;31
with_mirrors;2020-08-08;30
without_mirrors;2020-08-08;16
without_mirrors;2020-08-09;67
with_mirrors;2020-08-09;77
with_mirrors;2020-08-10;53
without_mirrors;2020-08-10;47
without_mirrors;2020-08-11;30
with_mirrors;2020-08-11;43
without_mirrors;2020-08-12;34
with_mirrors;2020-08-12;37
with_mirrors;2020-08-13;32
without_mirrors;2020-08-13;17
without_mirrors;2020-08-14;8
with_mirrors;2020-08-14;26
without_mirrors;2020-08-15;24
with_mirrors;2020-08-15;48
with_mirrors;2020-08-16;8
without_mirrors;2020-08-16;2
with_mirrors;2020-08-17;48
without_mirrors;2020-08-17;35
with_mirrors;2020-08-18;52
without_mirrors;2020-08-18;52
without_mirrors;2020-08-19;39
with_mirrors;2020-08-19;44
without_mirrors;2020-08-20;23
with_mirrors;2020-08-20;27
with_mirrors;2020-08-21;22
without_mirrors;2020-08-21;22
without_mirrors;2020-08-22;3
with_mirrors;2020-08-22;3
without_mirrors;2020-08-23;6
with_mirrors;2020-08-23;26
with_mirrors;2020-08-24;105
without_mirrors;2020-08-24;81
without_mirrors;2020-08-25;92
with_mirrors;2020-08-25;92
with_mirrors;2020-08-26;50
without_mirrors;2020-08-26;42
without_mirrors;2020-08-27;42
with_mirrors;2020-08-27;42
without_mirrors;2020-08-28;48
with_mirrors;2020-08-28;72
with_mirrors;2020-08-29;19
without_mirrors;2020-08-29;19
with_mirrors;2020-08-30;24
without_mirrors;2020-08-30;18
with_mirrors;2020-08-31;135
without_mirrors;2020-08-31;109
without_mirrors;2020-09-01;39
with_mirrors;2020-09-01;58
without_mirrors;2020-09-02;142
with_mirrors;2020-09-02;147
without_mirrors;2020-09-03;53
with_mirrors;2020-09-03;59
with_mirrors;2020-09-04;77
without_mirrors;2020-09-04;62
without_mirrors;2020-09-05;7
with_mirrors;2020-09-05;13
with_mirrors;2020-09-06;43
without_mirrors;2020-09-06;31
with_mirrors;2020-09-07;126
without_mirrors;2020-09-07;110
without_mirrors;2020-09-08;51
with_mirrors;2020-09-08;58
without_mirrors;2020-09-09;43
with_mirrors;2020-09-09;43
with_mirrors;2020-09-10;55
without_mirrors;2020-09-10;52
with_mirrors;2020-09-11;61
without_mirrors;2020-09-11;50
with_mirrors;2020-09-12;25
without_mirrors;2020-09-12;15
without_mirrors;2020-09-13;8
with_mirrors;2020-09-13;26
with_mirrors;2020-09-14;36
without_mirrors;2020-09-14;22
with_mirrors;2020-09-15;22
without_mirrors;2020-09-15;19
with_mirrors;2020-09-16;52
without_mirrors;2020-09-16;40
with_mirrors;2020-09-17;45
without_mirrors;2020-09-17;45
with_mirrors;2020-09-18;64
without_mirrors;2020-09-18;56
with_mirrors;2020-09-19;14
without_mirrors;2020-09-19;14
with_mirrors;2020-09-20;25
without_mirrors;2020-09-20;7
without_mirrors;2020-09-21;28
with_mirrors;2020-09-21;34
without_mirrors;2020-09-22;23
with_mirrors;2020-09-22;28
without_mirrors;2020-09-23;26
with_mirrors;2020-09-23;35
with_mirrors;2020-09-24;22
without_mirrors;2020-09-24;19
without_mirrors;2020-09-25;7
with_mirrors;2020-09-25;7
without_mirrors;2020-09-26;22
with_mirrors;2020-09-26;28
without_mirrors;2020-09-27;14
with_mirrors;2020-09-27;20
without_mirrors;2020-09-28;11
with_mirrors;2020-09-28;12
with_mirrors;2020-09-29;39
without_mirrors;2020-09-29;24
with_mirrors;2020-09-30;17
without_mirrors;2020-09-30;15
with_mirrors;2020-10-01;23
without_mirrors;2020-10-01;11
with_mirrors;2020-10-02;24
without_mirrors;2020-10-02;16
with_mirrors;2020-10-03;9
without_mirrors;2020-10-03;9
without_mirrors;2020-10-04;10
with_mirrors;2020-10-04;23
without_mirrors;2020-10-05;19
with_mirrors;2020-10-05;25
with_mirrors;2020-10-06;15
without_mirrors;2020-10-06;11
